Simbol,Izdavatelj,ISIN,Broj izdanih,Nominala,Datum uvrštenja,url
3MAJ,3. MAJ Brodogradilište  dioničko društvo,HR3MAJRA0002,1.462.140,"100,00 HRK",18.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=500
ACI,Adriatic Croatia International Club. za djelatnost marina d. d.,HRACI0RA0000,111.060,"3.600,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=504
ADPL,AD PLASTIK dioničko društvo za proizvodnju dijelova i pribora za motorna vozila i proizvoda iz plastičnih masa,HRADPLRA0006,4.199.584,"100,00 HRK",27.12.2018,http://www.zse.hr/default.aspx?id=10006&dionica=259
ADRS,ADRIS GRUPA dioničko društvo za upravljanje i ulaganje,HRADRSRA0007,9.615.900,"10,00 HRK",30.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=313
ADRS2,ADRIS GRUPA dioničko društvo za upravljanje i ulaganje,HRADRSPA0009,6.784.100,"10,00 HRK",30.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=314
AGMM,Agromeđimurje dioničko društvo Čakovec,HRAGMMRA0005,37.390,"1.400,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=511
ARNT,Arena Hospitality Group d.d. za turizam i ugostiteljstvo,HRARNTRA0004,5.128.721,"0,00 HRK",20.12.2018,http://www.zse.hr/default.aspx?id=10006&dionica=56
ATGR,ATLANTIC GRUPA dioničko društvo za unutarnju i vanjsku trgovinu,HRATGRRA0003,3.334.300,"40,00 HRK",10.9.2018,http://www.zse.hr/default.aspx?id=10006&dionica=1075
ATLN,"EXCELSA NEKRETNINE, dioničko društvo za poslovanje nekretninama",HRATLNRA0000,3.335.801,"0,00 HRK",21.2.2007,http://www.zse.hr/default.aspx?id=10006&dionica=491
ATPL,ATLANTSKA PLOVIDBA dioničko društvo za međunarodni prijevoz robe i putnika,HRATPLRA0008,1.395.520,"300,00 HRK",25.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=63
AUHR,AUTO HRVATSKA dioničko društvo,HRAUHRRA0009,600.000,"100,00 HRK",25.6.2003,http://www.zse.hr/default.aspx?id=10006&dionica=260
BD62,"BADEL 1862 dioničko društvo, vina, alkoholna i bezalkoholna pića",HRBD62RA0004,752.106,"10,00 HRK",28.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=12
